metric,t-stat,p-val,model_1,model_2,p-val-corrected,significance
test_r_corr,0.621559783342468,0.5371125833255932,Ridge Regression,Random Forest,1.0,ns
test_r_corr,0.4617901686163405,0.6460531973329318,Ridge Regression,XGBoost,1.0,ns
test_r_corr,0.3191942928401243,0.7507883734077092,Ridge Regression,AutoGluon,1.0,ns
test_r_corr,0.6220543122769698,0.5367900458008937,SVM-linear,SVM-rbf,1.0,ns
test_r_corr,0.5358117669913948,0.594512593543419,SVM-linear,Random Forest,1.0,ns
test_r_corr,0.4255251268869541,0.672114381973919,SVM-linear,XGBoost,1.0,ns
test_r_corr,0.28199064979921545,0.7790090661746685,SVM-linear,AutoGluon,1.0,ns
test_r_corr,0.35469132461035774,0.7243428965825869,SVM-rbf,Random Forest,1.0,ns
test_r_corr,0.3168612784660127,0.7525484923212435,SVM-rbf,XGBoost,1.0,ns
test_r_corr,0.17990398259996224,0.8578891451544948,SVM-rbf,AutoGluon,1.0,ns
test_r_corr,0.08738236315728624,0.9306849617444091,Random Forest,XGBoost,1.0,ns
test_r_corr,-0.050414676907042,0.959974587850115,Random Forest,AutoGluon,1.0,ns
test_r_corr,-0.35792745259798264,0.7219349021145793,XGBoost,AutoGluon,1.0,ns
train_r_corr,13.648817931655222,2.5622936171037193e-18,Linear Regression,Ridge Regression,5.3808165959178104e-17,****
train_r_corr,3.509741636290304,0.0009725154254279282,Linear Regression,SVM-linear,0.020422823933986492,*
train_r_corr,-1.1006787702049734,0.27641434235453033,Linear Regression,SVM-rbf,1.0,ns
train_r_corr,-30.989471500888218,7.512893808875209e-34,Linear Regression,Random Forest,1.577707699863794e-32,****
train_r_corr,47.870445447553095,1.6134517399552724e-46,Linear Regression,XGBoost,3.388248653906072e-45,****
train_r_corr,47.870445447553095,1.6134517399552724e-46,Linear Regression,AutoGluon,3.388248653906072e-45,****
train_r_corr,3.5096932866434587,0.000972656451545668,Ridge Regression,SVM-linear,0.020425785482459026,*
